Far field
"Plane Wave Phi"[deg]	"1Blade_SEP_lam8_Carbide [dBsm]"	"1Blade_SEP_lam16_Carbide [dBsm]"	"1Blade_SEP_lam20_Carbide [dBsm]"	"1Blade_SEP_lam25_Carbide [dBsm]"	"1Blade_SEP_lam32_Carbide [dBsm]"	"1Blade_SEP_lam40_Carbide [dBsm]"	
-1.80000000E+02	-5.39135057E+01	-5.36532229E+01	-5.45215216E+01	-5.44707067E+01	-5.41494854E+01	-5.40517799E+01	
-1.79000000E+02	-5.37421693E+01	-5.34359833E+01	-5.43329934E+01	-5.42690300E+01	-5.39283845E+01	-5.38251187E+01	
-1.78000000E+02	-5.35816221E+01	-5.32380227E+01	-5.41567399E+01	-5.40814596E+01	-5.37244957E+01	-5.36177476E+01	
-1.77000000E+02	-5.34313827E+01	-5.30577533E+01	-5.39921624E+01	-5.39072410E+01	-5.35365747E+01	-5.34282182E+01	
-1.76000000E+02	-5.32908804E+01	-5.28936965E+01	-5.38384040E+01	-5.37453926E+01	-5.33633886E+01	-5.32551101E+01	
-1.75000000E+02	-5.31592817E+01	-5.27443360E+01	-5.36944313E+01	-5.35948608E+01	-5.32035764E+01	-5.30968096E+01	
-1.74000000E+02	-5.30356817E+01	-5.26081527E+01	-5.35590570E+01	-5.34544124E+01	-5.30558367E+01	-5.29518764E+01	
-1.73000000E+02	-5.29189995E+01	-5.24835451E+01	-5.34308808E+01	-5.33226608E+01	-5.29186247E+01	-5.28186300E+01	
-1.72000000E+02	-5.28080043E+01	-5.23687786E+01	-5.33083778E+01	-5.31981497E+01	-5.27903394E+01	-5.26954494E+01	
-1.71000000E+02	-5.27012732E+01	-5.22620777E+01	-5.31898854E+01	-5.30791250E+01	-5.26692621E+01	-5.25804083E+01	
-1.70000000E+02	-5.25972739E+01	-5.21613596E+01	-5.30734184E+01	-5.29637434E+01	-5.25534417E+01	-5.24715188E+01	
-1.69000000E+02	-5.24942787E+01	-5.20644564E+01	-5.29569585E+01	-5.28499905E+01	-5.24408299E+01	-5.23666308E+01	
-1.68000000E+02	-5.23904655E+01	-5.19689895E+01	-5.28382892E+01	-5.27356716E+01	-5.23292254E+01	-5.22633540E+01	
-1.67000000E+02	-5.22839232E+01	-5.18723333E+01	-5.27151248E+01	-5.26185083E+01	-5.22162523E+01	-5.21592005E+01	
-1.66000000E+02	-5.21726799E+01	-5.17718721E+01	-5.25851850E+01	-5.24961709E+01	-5.20995070E+01	-5.20514666E+01	
-1.65000000E+02	-5.20548341E+01	-5.16649475E+01	-5.24464270E+01	-5.23664010E+01	-5.19765687E+01	-5.19376725E+01	
