Far field
"Plane Wave Phi"[deg]	"2Blades_SEP_lam4_Carbide [dBsm]"	"2Blades_SEP_lam10_Carbide [dBsm]"	"2Blades_SEP_lam20_Carbide [dBsm]"	"2Blades_SEP_lam40_Carbide [dBsm]"	"2Blades_SEP_lam80_Carbide [dBsm]"	
-1.80000000E+02	-2.92624008E+01	-2.88781165E+01	-2.85654508E+01	-2.77509350E+01	-2.72873408E+01	
-1.79000000E+02	-2.89095639E+01	-2.85416776E+01	-2.82400755E+01	-2.74369736E+01	-2.69851996E+01	
-1.78000000E+02	-2.84613036E+01	-2.80745269E+01	-2.77535480E+01	-2.69271776E+01	-2.64641875E+01	
-1.77000000E+02	-2.79376794E+01	-2.75022740E+01	-2.71362673E+01	-2.62566019E+01	-2.57609194E+01	
-1.76000000E+02	-2.73573261E+01	-2.68504045E+01	-2.64209793E+01	-2.54668719E+01	-2.49229221E+01	
-1.75000000E+02	-2.67365514E+01	-2.61422490E+01	-2.56382503E+01	-2.45985358E+01	-2.39974827E+01	
-1.74000000E+02	-2.60890714E+01	-2.53977877E+01	-2.48143523E+01	-2.36860826E+01	-2.30253961E+01	
-1.73000000E+02	-2.54261900E+01	-2.46334295E+01	-2.39704585E+01	-2.27565672E+01	-2.20376046E+01	
-1.72000000E+02	-2.47570307E+01	-2.38622313E+01	-2.31229796E+01	-2.18298930E+01	-2.10565464E+01	
-1.71000000E+02	-2.40890211E+01	-2.30946095E+01	-2.22841599E+01	-2.09201995E+01	-2.00977942E+01	
-1.70000000E+02	-2.34282529E+01	-2.23386437E+01	-2.14633135E+01	-2.00374365E+01	-1.91713885E+01	
-1.69000000E+02	-2.27798123E+01	-2.16009483E+01	-2.06674820E+01	-1.91885168E+01	-1.82847002E+01	
-1.68000000E+02	-2.21481566E+01	-2.08868694E+01	-1.99020706E+01	-1.83784823E+01	-1.74421942E+01	
-1.67000000E+02	-2.15373254E+01	-2.02010099E+01	-1.91714878E+01	-1.76110714E+01	-1.66472823E+01	
-1.66000000E+02	-2.09510896E+01	-1.95474970E+01	-1.84795826E+01	-1.68894306E+01	-1.59025758E+01	
-1.65000000E+02	-2.03932285E+01	-1.89302085E+01	-1.78297718E+01	-1.62163501E+01	-1.52105072E+01	
-1.64000000E+02	-1.98674993E+01	-1.83529823E+01	-1.72255760E+01	-1.55945507E+01	-1.45734245E+01	
